pseudogroup,pubID,weeks,cluster,cluster_size
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-145_8,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_19_7_True_G002-145_13,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_19_7_True_G002-145_25,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_19_7_True_G002-145_26,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_19_7_True_G002-145_27,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_19_7_True_G002-145_9,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_20_7_True_G002-145_1,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_22_7_True_G002-145_1,2
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_22_7_True_G002-145_3,1
1.0,G002-145,8,IGHV1-2*02_IGKV4-1*01_15_7_True_G002-145_0,3
1.0,G002-145,8,IGHV1-2*02_IGKV4-1*01_15_7_True_G002-145_5,1
1.0,G002-145,8,IGHV1-2*02_IGLV2-14*01_16_7_True_G002-145_1,2
1.0,G002-145,8,IGHV1-2*02_IGLV2-23*01_16_7_True_G002-145_3,1
1.0,G002-145,8,IGHV1-2*02_IGLV2-23*01_16_7_True_G002-145_4,1
1.0,G002-145,8,IGHV1-2*02_IGLV2-8*01_13_7_True_G002-145_0,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-230_11,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-230_18,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-230_4,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-230_8,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-33*01_14_7_True_G002-230_21,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-230_22,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-230_35,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-5*01_15_7_True_G002-230_0,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-5*03_14_7_True_G002-230_12,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-5*03_14_7_True_G002-230_8,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-5*03_17_7_True_G002-230_7,1
1.0,G002-230,8,IGHV1-2*02_IGKV1-5*03_18_7_True_G002-230_0,1
1.0,G002-230,8,IGHV1-2*02_IGKV3-15*01_14_7_True_G002-230_3,1
1.0,G002-230,8,IGHV1-2*02_IGKV3-15*01_16_7_True_G002-230_6,1
1.0,G002-230,8,IGHV1-2*02_IGKV3-15*01_17_7_True_G002-230_5,1
1.0,G002-230,8,IGHV1-2*02_IGKV3-20*01_14_7_True_G002-230_7,1
1.0,G002-230,8,IGHV1-2*02_IGKV3-20*01_14_7_True_G002-230_8,1
1.0,G002-230,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-230_13,1
1.0,G002-230,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-230_3,1
1.0,G002-230,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-230_8,1
1.0,G002-230,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-230_1,1
1.0,G002-230,8,IGHV1-2*02_IGLV2-23*01_13_7_True_G002-230_0,1
1.0,G002-293,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-293_11,1
1.0,G002-293,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-293_5,2
1.0,G002-293,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-293_4,1
1.0,G002-293,8,IGHV1-2*02_IGKV1-33*01_19_7_True_G002-293_1,1
1.0,G002-293,8,IGHV1-2*02_IGKV1-5*01_15_7_True_G002-293_0,1
1.0,G002-293,8,IGHV1-2*02_IGKV1-5*03_13_7_True_G002-293_0,1
1.0,G002-293,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-293_10,1
1.0,G002-293,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-293_6,1
1.0,G002-293,8,IGHV1-2*02_IGKV1-5*03_20_7_True_G002-293_0,1
1.0,G002-293,8,IGHV1-2*02_IGKV1-5*03_20_7_True_G002-293_5,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-15*01_14_7_True_G002-293_0,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-15*01_15_7_True_G002-293_0,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-15*01_15_7_True_G002-293_3,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-15*01_15_7_True_G002-293_4,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-15*01_16_7_True_G002-293_16,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-15*01_19_7_True_G002-293_0,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-15*01_19_7_True_G002-293_2,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_13_7_True_G002-293_1,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_14_7_True_G002-293_2,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-293_3,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-293_14,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-293_17,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-293_4,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-293_13,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-293_14,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-293_2,1
1.0,G002-293,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-293_8,1
